model,accuracy,macro_f1,auroc,ood_rate
HOG + SVM,0.48147632311977717,0.42464197924132907,0.8233315470288581,N/A
DenseNet121,0.9467966573816156,0.9259930485547009,0.9949948757862228,N/A
Hybrid GMM,0.9467966573816156,0.9259930485547009,N/A,0.1767409470752089
