model,accuracy,macro_f1,auroc,ood_rate
HOG + SVM,0.48147632311977717,0.42464197924132907,0.8233315470288581,N/A
ResNet18,0.9194986072423398,0.894947582059232,0.9939916967091962,N/A
Hybrid GMM,0.9194986072423398,0.894947582059232,N/A,0.3161559888579387
